序号,目标_x,目标_y,目标_Y,精确法_Ra,网格法_Ra,Ra差值_精确减网格,Ra绝对差值
1,0.3169,0.331,3.231,96.5189347745379,95.9405124230356,0.578422351502311,0.578422351502311
2,0.3197,0.3497,3.198,95.7289708703464,95.7241928916282,0.00477797871818098,0.00477797871818098
3,0.4016,0.5034,2.918,43.025798876811,42.264982396408,0.760816480403051,0.760816480403051
4,0.4165,0.4966,2.888,36.5081985322122,36.2832057211026,0.224992811109537,0.224992811109537
5,0.431,0.49,2.851,30.2317253226928,30.0024917516354,0.229233571057389,0.229233571057389
6,0.4576,0.4619,2.792,21.8367808522015,21.7935201060417,0.0432607461598415,0.0432607461598415
7,0.4959,0.4449,2.683,9.84555844444907,8.63358298741436,1.21197545703471,1.21197545703471
8,0.5289,0.4162,2.593,6.26859337670747,4.9323920180746,1.33620135863287,1.33620135863287
9,0.5532,0.3927,2.513,8.00091297945003,7.51985348278339,0.481059496666646,0.481059496666646
10,0.5897,0.3655,2.375,15.2401455426228,13.4486803660679,1.7914651765549,1.7914651765549
11,0.6846,0.3072,1.942,61.1574867562231,60.2447540214353,0.912732734787802,0.912732734787802
12,0.654,0.2906,1.907,61.6519442616089,57.671151014779,3.98079324682985,3.98079324682985
13,0.6282,0.2821,1.915,56.9209826791667,51.0292995423708,5.8916831367959,5.8916831367959
14,0.5211,0.2316,1.835,26.4201365487883,22.7364202573819,3.68371629140634,3.68371629140634
15,0.2082,0.068,1.265,-127.635716395418,-128.853593107482,1.21787671206432,1.21787671206432
16,0.1486,0.0288,0.584,NaN,NaN,NaN,NaN
17,0.1579,0.1053,1.729,19.3588353738077,16.6231144390082,2.73572093479947,2.73572093479947
18,0.1586,0.1409,1.957,28.2722314566252,27.1840280183877,1.08820343823749,1.08820343823749
19,0.158,0.1664,2.094,29.0955730436023,26.8110875225564,2.28448552104592,2.28448552104592
20,0.1609,0.206,2.293,35.0044715683482,32.1903710203543,2.81410054799392,2.81410054799392
21,0.1667,0.2407,2.449,42.6950637146072,41.0254574672093,1.66960624739795,1.66960624739795
22,0.1667,0.2828,2.586,41.0604773408774,40.8122321516334,0.248245189244052,0.248245189244052
23,0.1766,0.3402,2.772,46.0813624536508,41.2490772346761,4.83228521897474,4.83228521897474
24,0.18,0.38,2.872,43.8649083924206,41.128732111976,2.73617628044453,2.73617628044453
25,0.1808,0.4144,2.931,40.5890999460338,39.2766473130391,1.31245263299466,1.31245263299466
26,0.1861,0.5109,3.106,33.4841494323447,32.8762722531273,0.607877179217361,0.607877179217361
27,0.1934,0.6418,3.269,16.7448013069216,16.4169146760235,0.327886630898139,0.327886630898139
28,0.2368,0.6205,3.218,33.9345794122843,31.9747480041132,1.95983140817111,1.95983140817111
29,0.3092,0.5649,3.111,58.0680280221404,57.6666652922293,0.401362729911021,0.401362729911021
30,0.3696,0.5362,3.001,51.0569780436151,49.1802787394973,1.87669930411776,1.87669930411776
